company_id,company_name,industry_sector,hq_country,hq_location,bid_type,annual_revenue,inquiry_volume
23,Bavaria,Food & Beverage,Colombia,Medellín,Annual Framework,2591153863,290
24,CMPC,Industrial & Equipment,Chile,Antofagasta,Framework Agreement,3698442783,48
25,Agrosuper,Food & Beverage,Chile,Valparaíso,Direct Negotiation,371949349,20
26,Alquería,Food & Beverage,Colombia,Bogotá,Direct Negotiation,3968760797,7
27,Cimportex,E-commerce & Retail,Paraguai,Ciudad del Este,Direct Negotiation,1532741501,23
28,Ambev,Food & Beverage,Brasil,Salvador,Annual Framework,2362827615,195
29,Enel Chile,Energy & Utilities,Chile,Antofagasta,Framework Agreement,4223243125,27
30,Enel Chile,Energy & Utilities,Chile,La Serena,Public Tender,1602057628,79
31,Alquería,Food & Beverage,Colombia,Cartagena,Annual Framework,2041857529,10
32,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Ciudad del Este,Spot Quote,844959034,9
33,Cervecería Quilmes,Food & Beverage,Argentina,Buenos Aires,Direct Negotiation,840544768,36
34,Frigorífico Concepción,Food & Beverage,Paraguai,San Lorenzo,RFP,614228058,8
35,Alquería,Food & Beverage,Colombia,Medellín,Annual Framework,3893030095,34
36,Alicorp,Food & Beverage,Perú,Iquitos,RFP,376642184,5
37,Movida,Car Rental,Brasil,Rio de Janeiro,Quarterly Bid,1422452484,867
38,Ute,Energy & Utilities,Uruguay,Ciudad de la Costa,Public Tender,1346625420,87
39,Backus,Food & Beverage,Perú,Arequipa,Annual Framework,847892665,19
40,Transportes Vigía,Logistics & Transport,Colombia,Bogotá,RFP,927773996,25
41,Falabella,E-commerce & Retail,Chile,Santiago,Direct Negotiation,2336145657,19
42,Ransa,Logistics & Transport,Perú,Chiclayo,RFP,515253946,238
43,Bavaria,Food & Beverage,Colombia,Bogotá,Direct Negotiation,1344996506,316
44,Transportes Cruz del Sur,Logistics & Transport,Perú,Chiclayo,Spot Quote,2064315985,30
45,Ransa,Logistics & Transport,Perú,Trujillo,Spot Quote,1922374149,208
46,Cervepar,Food & Beverage,Paraguai,Assunção,Annual Framework,2048575385,43
47,Transportes Cruz del Sur,Logistics & Transport,Perú,Iquitos,Fleet Contract,1376478919,8
48,Ancap,Energy & Utilities,Uruguay,Ciudad de la Costa,Public Tender,4934769460,100
49,Movida,Car Rental,Brasil,São Paulo,Volume Rebate Agreement,799402223,996
50,Frigorífico Concepción,Food & Beverage,Paraguai,Capiatá,RFP,408864317,34
51,Turbus,B2B Services,Chile,Santiago,RFP,3979763365,25
52,Frigorífico Concepción,Food & Beverage,Paraguai,Assunção,RFP,1779652397,38
53,Ute,Energy & Utilities,Uruguay,Montevidéu,RFP,1156693909,81
54,Bavaria,Food & Beverage,Colombia,Cali,RFP,399999370,216
55,Enel Chile,Energy & Utilities,Chile,La Serena,RFP,4371860673,32
56,Backus,Food & Beverage,Perú,Chiclayo,RFP,2021333028,42
57,Alquería,Food & Beverage,Colombia,Barranquilla,Direct Negotiation,3823783237,17
58,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Luque,Spot Quote,3728520663,6
59,Agrosuper,Food & Beverage,Chile,Valparaíso,Direct Negotiation,135420827,38
60,Andreani,Logistics & Transport,Argentina,Córdoba,RFP,1725316656,296
61,Localiza,Car Rental,Brasil,São Paulo,Direct Negotiation,2652573711,775
62,Transportes Vigía,Logistics & Transport,Colombia,Barranquilla,Spot Quote,3364835000,19
63,Falabella,E-commerce & Retail,Chile,Santiago,Spot Quote,1265001713,9
64,Mirtrans,Logistics & Transport,Uruguay,Salto,Spot Quote,1716888773,38
65,Ancap,Energy & Utilities,Uruguay,Salto,Framework Agreement,2232340034,25
66,Andreani,Logistics & Transport,Argentina,La Plata,Spot Quote,1171397120,176
67,CMPC,Industrial & Equipment,Chile,Concepción,Framework Agreement,2617913475,96
68,Enel Chile,Energy & Utilities,Chile,La Serena,RFP,979535144,52
69,Ambev,Food & Beverage,Brasil,Brasília,Annual Framework,3408570710,388
70,Andreani,Logistics & Transport,Argentina,Buenos Aires,Fleet Contract,1748259063,437
71,Ferreyros,Industrial & Equipment,Perú,Trujillo,Framework Agreement,1597791105,51
72,YPF,Energy & Utilities,Argentina,La Plata,Public Tender,1100773478,76
73,Andreani,Logistics & Transport,Argentina,La Plata,Fleet Contract,1563573447,399
74,Cervepar,Food & Beverage,Paraguai,Ciudad del Este,Direct Negotiation,1203651145,9
75,Transportes Vigía,Logistics & Transport,Colombia,Bogotá,Fleet Contract,4586726540,47
76,Tigo Paraguay,Telecommunications,Paraguai,Assunção,Spot Quote,1725985026,46
77,Companhia de Locação das Américas,Car Rental,Brasil,Brasília,Quarterly Bid,4410968879,884
78,Servientrega,Logistics & Transport,Colombia,Medellín,RFP,180689846,290
79,Agrosuper,Food & Beverage,Chile,Santiago,RFP,3493855291,9
80,Mercado Libre,E-commerce & Retail,Argentina,Rosário,Online Reverse Auction,1385884792,187
81,Ute,Energy & Utilities,Uruguay,Montevidéu,Public Tender,3437613075,57
82,Cervepar,Food & Beverage,Paraguai,Ciudad del Este,Annual Framework,2105053462,38
83,Ancap,Energy & Utilities,Uruguay,Las Piedras,Public Tender,1570990447,76
84,Enel Chile,Energy & Utilities,Chile,Antofagasta,Framework Agreement,1833726375,82
85,Ferreyros,Industrial & Equipment,Perú,Trujillo,RFP,2096188560,27
86,Movida,Car Rental,Brasil,Fortaleza,Quarterly Bid,2370726375,1066
87,JSL Logística,Logistics & Transport,Brasil,Salvador,Spot Quote,2834313807,1157
88,Conaprole,Food & Beverage,Uruguay,Ciudad de la Costa,Direct Negotiation,4486956431,40
89,Falabella,E-commerce & Retail,Chile,Santiago,Direct Negotiation,3055309410,34
90,Agrosuper,Food & Beverage,Chile,La Serena,RFP,4281206313,41
91,Bavaria,Food & Beverage,Colombia,Cartagena,RFP,4343986895,287
92,YPF,Energy & Utilities,Argentina,Buenos Aires,Public Tender,2385305996,65
93,Transportes Vigía,Logistics & Transport,Colombia,Barranquilla,RFP,4781823457,41
94,Servientrega,Logistics & Transport,Colombia,Barranquilla,RFP,3923140839,159
95,Ute,Energy & Utilities,Uruguay,Montevidéu,Framework Agreement,1395432117,98
96,Transportes Cruz del Sur,Logistics & Transport,Perú,Iquitos,RFP,3189999220,36
97,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,San Lorenzo,Spot Quote,4218007009,23
98,Alquería,Food & Beverage,Colombia,Cartagena,Annual Framework,3004308178,49
99,Transportes Vigía,Logistics & Transport,Colombia,Cali,Fleet Contract,3579257319,16
100,Ancap,Energy & Utilities,Uruguay,Salto,RFP,2378382067,22
101,Falabella,E-commerce & Retail,Chile,Concepción,Direct Negotiation,1804715054,14
102,Companhia de Locação das Américas,Car Rental,Brasil,Fortaleza,Quarterly Bid,1744614098,854
103,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Assunção,Spot Quote,3130614334,28
104,Cervecería Quilmes,Food & Beverage,Argentina,Buenos Aires,Annual Framework,2591074246,26
105,Cimportex,E-commerce & Retail,Paraguai,San Lorenzo,Direct Negotiation,1996202245,30
106,Companhia de Locação das Américas,Car Rental,Brasil,São Paulo,Direct Negotiation,2566919145,674
107,Ancap,Energy & Utilities,Uruguay,Paysandú,Public Tender,2554636112,26
108,Ute,Energy & Utilities,Uruguay,Paysandú,RFP,1713036969,57
109,Cervepar,Food & Beverage,Paraguai,San Lorenzo,RFP,702692011,49
110,Cervecería Quilmes,Food & Beverage,Argentina,Córdoba,Direct Negotiation,3284565431,43
111,Grupo Nutresa,Food & Beverage,Colombia,Medellín,RFP,929075630,45
112,Falabella,E-commerce & Retail,Chile,Valparaíso,Direct Negotiation,1707074445,39
113,Cervecería Quilmes,Food & Beverage,Argentina,Mendoza,Annual Framework,1633484230,21
114,Cervepar,Food & Beverage,Paraguai,Ciudad del Este,Direct Negotiation,696719247,21
115,Ute,Energy & Utilities,Uruguay,Ciudad de la Costa,Framework Agreement,1361240493,67
116,Cervecería Quilmes,Food & Beverage,Argentina,La Plata,Direct Negotiation,1492560337,18
117,Movida,Car Rental,Brasil,Rio de Janeiro,Quarterly Bid,1239510489,988
118,Bavaria,Food & Beverage,Colombia,Cali,Annual Framework,3026062298,179
119,Localiza,Car Rental,Brasil,São Paulo,Quarterly Bid,4727432274,731
120,Enel Chile,Energy & Utilities,Chile,Valparaíso,Public Tender,1804055616,39
121,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Luque,Spot Quote,4430308839,31
122,Enel Chile,Energy & Utilities,Chile,Concepción,Framework Agreement,999789434,64
123,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Ciudad del Este,Fleet Contract,2316498249,43
124,Ferreyros,Industrial & Equipment,Perú,Arequipa,RFP,4028124609,29
125,CMPC,Industrial & Equipment,Chile,Concepción,Framework Agreement,2722280894,51
126,Bavaria,Food & Beverage,Colombia,Medellín,Annual Framework,3076102900,337
127,Companhia de Locação das Américas,Car Rental,Brasil,Rio de Janeiro,Quarterly Bid,322390305,1120
128,Conaprole,Food & Beverage,Uruguay,Ciudad de la Costa,Direct Negotiation,2031586441,36
129,Transportes Vigía,Logistics & Transport,Colombia,Bogotá,RFP,3688111026,27
130,Turbus,B2B Services,Chile,Concepción,Standard Bid,3351128176,5
131,Localiza,Car Rental,Brasil,Salvador,Volume Rebate Agreement,4614899870,810
132,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Assunção,RFP,2062848220,13
133,CMPC,Industrial & Equipment,Chile,Valparaíso,Public Tender,4476375402,58
134,Ambev,Food & Beverage,Brasil,Rio de Janeiro,Direct Negotiation,4631539399,243
135,Enel Chile,Energy & Utilities,Chile,La Serena,Framework Agreement,1483755875,68
136,Localiza,Car Rental,Brasil,Brasília,Volume Rebate Agreement,523175687,989
137,Cervecería Quilmes,Food & Beverage,Argentina,La Plata,Annual Framework,871386381,36
138,Pagnifique,Food & Beverage,Uruguay,Las Piedras,RFP,427984372,11
139,Cervecería Quilmes,Food & Beverage,Argentina,Buenos Aires,Annual Framework,4141686726,47
140,Alicorp,Food & Beverage,Perú,Trujillo,RFP,2313359132,48
141,Alicorp,Food & Beverage,Perú,Iquitos,Direct Negotiation,4765982369,46
142,CMPC,Industrial & Equipment,Chile,Concepción,Framework Agreement,4347997217,34
143,Servientrega,Logistics & Transport,Colombia,Cali,RFP,1470093171,238
144,Transportes Cruz del Sur,Logistics & Transport,Perú,Chiclayo,Spot Quote,987319275,8
145,Conaprole,Food & Beverage,Uruguay,Las Piedras,Annual Framework,3860731199,39
146,Bavaria,Food & Beverage,Colombia,Medellín,Annual Framework,429837975,418
147,JSL Logística,Logistics & Transport,Brasil,Brasília,Fleet Contract,2415021548,691
148,Cimportex,E-commerce & Retail,Paraguai,Capiatá,Direct Negotiation,4998615306,35
149,Tigo Paraguay,Telecommunications,Paraguai,San Lorenzo,Spot Quote,3876322211,6
150,Ransa,Logistics & Transport,Perú,Iquitos,Spot Quote,1711558914,397
151,Ute,Energy & Utilities,Uruguay,Ciudad de la Costa,Framework Agreement,1415120978,59
152,Movida,Car Rental,Brasil,Rio de Janeiro,Volume Rebate Agreement,1234861690,685
153,Transportes Vigía,Logistics & Transport,Colombia,Cartagena,RFP,3895310276,28
154,Localiza,Car Rental,Brasil,Brasília,Quarterly Bid,2117763691,935
155,Bavaria,Food & Beverage,Colombia,Bogotá,Direct Negotiation,832356125,329
156,Servientrega,Logistics & Transport,Colombia,Medellín,Spot Quote,2851273048,186
157,Mirtrans,Logistics & Transport,Uruguay,Las Piedras,Spot Quote,1855103311,39
158,Mirtrans,Logistics & Transport,Uruguay,Paysandú,RFP,1092022669,17
159,Mirtrans,Logistics & Transport,Uruguay,Montevidéu,Fleet Contract,3754266418,9
160,Servientrega,Logistics & Transport,Colombia,Medellín,Spot Quote,1537990789,192
161,Alicorp,Food & Beverage,Perú,Iquitos,RFP,3715558180,50
162,Agrosuper,Food & Beverage,Chile,Santiago,RFP,2080466112,12
163,Alquería,Food & Beverage,Colombia,Barranquilla,Annual Framework,2803796723,12
164,Andreani,Logistics & Transport,Argentina,Buenos Aires,RFP,1295658638,313
165,CMPC,Industrial & Equipment,Chile,Antofagasta,Framework Agreement,2759059417,77
166,Pagnifique,Food & Beverage,Uruguay,Ciudad de la Costa,Annual Framework,2725221953,25
167,Alicorp,Food & Beverage,Perú,Arequipa,Annual Framework,1570328135,40
168,Backus,Food & Beverage,Perú,Lima,Annual Framework,1653426510,50
169,Ferreyros,Industrial & Equipment,Perú,Arequipa,Framework Agreement,638519328,84
170,Tigo Paraguay,Telecommunications,Paraguai,San Lorenzo,Online Reverse Auction,4450931941,44
171,Ferreyros,Industrial & Equipment,Perú,Lima,Public Tender,1041026506,57
172,Conaprole,Food & Beverage,Uruguay,Montevidéu,Annual Framework,2235347740,32
173,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Capiatá,RFP,3996039900,48
174,Ambev,Food & Beverage,Brasil,Brasília,Annual Framework,1510606027,272
175,Companhia de Locação das Américas,Car Rental,Brasil,Brasília,Direct Negotiation,2868682188,571
176,Localiza,Car Rental,Brasil,Salvador,Quarterly Bid,480924960,524
177,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,San Lorenzo,Spot Quote,3934836804,27
178,Agrosuper,Food & Beverage,Chile,Antofagasta,Direct Negotiation,4773707578,19
179,Companhia de Locação das Américas,Car Rental,Brasil,Rio de Janeiro,Volume Rebate Agreement,930463391,947
180,Pagnifique,Food & Beverage,Uruguay,Ciudad de la Costa,Direct Negotiation,767112924,29
181,YPF,Energy & Utilities,Argentina,Córdoba,Framework Agreement,907227818,44
182,Pagnifique,Food & Beverage,Uruguay,Ciudad de la Costa,Direct Negotiation,3875724085,36
183,Companhia de Locação das Américas,Car Rental,Brasil,Rio de Janeiro,Volume Rebate Agreement,974607699,907
184,Ambev,Food & Beverage,Brasil,Fortaleza,RFP,4864915129,165
185,Ancap,Energy & Utilities,Uruguay,Ciudad de la Costa,RFP,155765909,95
186,Transportes Cruz del Sur,Logistics & Transport,Perú,Trujillo,Spot Quote,2573528574,11
187,Cervepar,Food & Beverage,Paraguai,San Lorenzo,Direct Negotiation,4963607417,12
188,Conaprole,Food & Beverage,Uruguay,Ciudad de la Costa,Direct Negotiation,4035001200,8
189,Andreani,Logistics & Transport,Argentina,La Plata,Fleet Contract,196940595,182
190,Conaprole,Food & Beverage,Uruguay,Montevidéu,Annual Framework,3668580221,23
191,Ferreyros,Industrial & Equipment,Perú,Trujillo,Public Tender,449960445,29
192,Andreani,Logistics & Transport,Argentina,La Plata,Spot Quote,1431404227,400
193,Movida,Car Rental,Brasil,Fortaleza,Volume Rebate Agreement,1919960848,747
194,CMPC,Industrial & Equipment,Chile,Valparaíso,Framework Agreement,579724330,36
195,Localiza,Car Rental,Brasil,Rio de Janeiro,Direct Negotiation,4897393538,1162
196,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Capiatá,Spot Quote,1684219093,41
197,Cervecería Quilmes,Food & Beverage,Argentina,Córdoba,Annual Framework,668764795,39
198,Andreani,Logistics & Transport,Argentina,La Plata,RFP,3753589954,383
199,Movida,Car Rental,Brasil,Fortaleza,Volume Rebate Agreement,4618906756,915
200,Tigo Paraguay,Telecommunications,Paraguai,Ciudad del Este,Spot Quote,2033818488,41
201,YPF,Energy & Utilities,Argentina,La Plata,RFP,4451692599,81
202,Transportes Cruz del Sur,Logistics & Transport,Perú,Chiclayo,Spot Quote,2772636042,15
203,Transportes Vigía,Logistics & Transport,Colombia,Bogotá,RFP,2168205683,19
204,Turbus,B2B Services,Chile,La Serena,RFP,1574809960,47
205,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,San Lorenzo,Spot Quote,269100944,24
206,Agrosuper,Food & Beverage,Chile,Valparaíso,RFP,2552210742,45
207,Pagnifique,Food & Beverage,Uruguay,Paysandú,Direct Negotiation,933020138,16
208,Grupo Nutresa,Food & Beverage,Colombia,Medellín,Annual Framework,2572611390,20
209,Ransa,Logistics & Transport,Perú,Chiclayo,Spot Quote,3526605131,405
210,Backus,Food & Beverage,Perú,Chiclayo,RFP,4348988509,44
211,JSL Logística,Logistics & Transport,Brasil,Brasília,Spot Quote,4510899618,763
212,Movida,Car Rental,Brasil,Brasília,Direct Negotiation,2255451297,943
213,Frigorífico Concepción,Food & Beverage,Paraguai,Luque,Direct Negotiation,3059540846,22
214,Frigorífico Concepción,Food & Beverage,Paraguai,San Lorenzo,RFP,915989460,48
215,Servientrega,Logistics & Transport,Colombia,Medellín,Spot Quote,3929853790,356
216,Frigorífico Concepción,Food & Beverage,Paraguai,San Lorenzo,RFP,4955333560,17
217,Cervecería Quilmes,Food & Beverage,Argentina,Mendoza,Annual Framework,2246880601,50
218,Transportes Vigía,Logistics & Transport,Colombia,Cali,Spot Quote,2075250454,10
219,Agrosuper,Food & Beverage,Chile,Valparaíso,Direct Negotiation,1763731051,42
220,Movida,Car Rental,Brasil,Salvador,Quarterly Bid,1012963130,1043
221,Ransa,Logistics & Transport,Perú,Trujillo,Fleet Contract,1319469290,185
222,Conaprole,Food & Beverage,Uruguay,Paysandú,Direct Negotiation,2519097158,36
223,Enel Chile,Energy & Utilities,Chile,Valparaíso,Public Tender,3477580552,45
224,Localiza,Car Rental,Brasil,Brasília,Direct Negotiation,3389053336,861
225,Ancap,Energy & Utilities,Uruguay,Ciudad de la Costa,RFP,1403027675,75
226,CMPC,Industrial & Equipment,Chile,La Serena,RFP,973725237,23
227,Ute,Energy & Utilities,Uruguay,Salto,RFP,4706176690,54
228,Servientrega,Logistics & Transport,Colombia,Cartagena,Spot Quote,2191625520,161
229,Conaprole,Food & Beverage,Uruguay,Montevidéu,Direct Negotiation,4021713155,26
230,Alicorp,Food & Beverage,Perú,Chiclayo,Annual Framework,2866465067,36
231,Movida,Car Rental,Brasil,Fortaleza,Quarterly Bid,4075073401,572
232,Transportes Cruz del Sur,Logistics & Transport,Perú,Chiclayo,Fleet Contract,2732140935,7
233,Falabella,E-commerce & Retail,Chile,Valparaíso,Direct Negotiation,3507688797,48
234,Alquería,Food & Beverage,Colombia,Bogotá,Annual Framework,4099827111,43
235,Servientrega,Logistics & Transport,Colombia,Bogotá,RFP,3180717854,244
236,Alquería,Food & Beverage,Colombia,Cali,RFP,2265548174,22
237,Movida,Car Rental,Brasil,Brasília,Volume Rebate Agreement,1675978631,1015
238,Transportes Furlong,Logistics & Transport,Argentina,Mendoza,Spot Quote,1316585710,5
239,Turbus,B2B Services,Chile,La Serena,RFP,3439192332,46
240,Agrosuper,Food & Beverage,Chile,La Serena,Direct Negotiation,3075792765,42
241,Alicorp,Food & Beverage,Perú,Lima,Direct Negotiation,3907574082,42
242,Cervepar,Food & Beverage,Paraguai,Ciudad del Este,Annual Framework,844450534,35
243,Ambev,Food & Beverage,Brasil,Rio de Janeiro,Direct Negotiation,4014531586,349
244,Servientrega,Logistics & Transport,Colombia,Medellín,Spot Quote,3947314193,286
245,Pagnifique,Food & Beverage,Uruguay,Paysandú,Direct Negotiation,1535504360,39
246,Tigo Paraguay,Telecommunications,Paraguai,Ciudad del Este,Spot Quote,1644651134,46
247,Grupo Nutresa,Food & Beverage,Colombia,Cartagena,Annual Framework,3981340387,39
248,Servientrega,Logistics & Transport,Colombia,Bogotá,RFP,810423481,234
249,Tigo Paraguay,Telecommunications,Paraguai,Ciudad del Este,Online Reverse Auction,783875642,29
250,Localiza,Car Rental,Brasil,Rio de Janeiro,Quarterly Bid,1811011089,593
251,Tigo Paraguay,Telecommunications,Paraguai,Luque,Direct Negotiation,1505932827,23
252,Backus,Food & Beverage,Perú,Lima,RFP,1546803946,20
253,Grupo Nutresa,Food & Beverage,Colombia,Barranquilla,Annual Framework,2181511224,39
254,Localiza,Car Rental,Brasil,Brasília,Direct Negotiation,2138626368,722
255,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Luque,RFP,2734951368,27
256,Localiza,Car Rental,Brasil,Fortaleza,Direct Negotiation,2091051257,897
257,Andreani,Logistics & Transport,Argentina,Mendoza,RFP,3353034549,297
258,Bavaria,Food & Beverage,Colombia,Cartagena,Annual Framework,3310337988,151
259,Grupo Nutresa,Food & Beverage,Colombia,Bogotá,Annual Framework,3493618589,32
260,Andreani,Logistics & Transport,Argentina,Buenos Aires,Fleet Contract,707859541,231
261,Agrosuper,Food & Beverage,Chile,Santiago,RFP,3983168913,23
262,Agrosuper,Food & Beverage,Chile,Valparaíso,Direct Negotiation,384973723,49
263,Grupo Nutresa,Food & Beverage,Colombia,Cali,Annual Framework,882484073,15
264,Pagnifique,Food & Beverage,Uruguay,Montevidéu,RFP,4492125980,39
265,Cervepar,Food & Beverage,Paraguai,Assunção,RFP,1299047587,35
266,Backus,Food & Beverage,Perú,Arequipa,RFP,1716062480,15
267,Mirtrans,Logistics & Transport,Uruguay,Montevidéu,RFP,3847465560,35
268,Mirtrans,Logistics & Transport,Uruguay,Montevidéu,Fleet Contract,3614424623,30
269,Ancap,Energy & Utilities,Uruguay,Las Piedras,Public Tender,3920650642,55
270,Transportes Furlong,Logistics & Transport,Argentina,Buenos Aires,Spot Quote,3577231660,27
271,JSL Logística,Logistics & Transport,Brasil,Fortaleza,Fleet Contract,4409602801,860
272,Frigorífico Concepción,Food & Beverage,Paraguai,Ciudad del Este,Annual Framework,2781539875,11
273,YPF,Energy & Utilities,Argentina,Rosário,RFP,3637926837,46
274,Mercado Libre,E-commerce & Retail,Argentina,Buenos Aires,Direct Negotiation,2907386242,161
275,Companhia de Locação das Américas,Car Rental,Brasil,São Paulo,Direct Negotiation,2252299444,812
276,Grupo Nutresa,Food & Beverage,Colombia,Cartagena,Direct Negotiation,2952145733,13
277,Ute,Energy & Utilities,Uruguay,Paysandú,RFP,4429162817,94
278,Ferreyros,Industrial & Equipment,Perú,Iquitos,Public Tender,3109118816,39
279,Ferreyros,Industrial & Equipment,Perú,Lima,Framework Agreement,1977988273,66
280,Ambev,Food & Beverage,Brasil,Brasília,Direct Negotiation,4852654376,235
281,Transportes Vigía,Logistics & Transport,Colombia,Medellín,RFP,1392999269,49
282,Frigorífico Concepción,Food & Beverage,Paraguai,Capiatá,RFP,3020919455,23
283,Ute,Energy & Utilities,Uruguay,Ciudad de la Costa,Framework Agreement,1060617376,63
284,Tigo Paraguay,Telecommunications,Paraguai,Assunção,Spot Quote,4708614885,37
285,Ancap,Energy & Utilities,Uruguay,Paysandú,Framework Agreement,427254880,42
286,Cervepar,Food & Beverage,Paraguai,Luque,Annual Framework,3949395235,49
287,Conaprole,Food & Beverage,Uruguay,Salto,Direct Negotiation,1581766187,19
288,Pagnifique,Food & Beverage,Uruguay,Las Piedras,Annual Framework,4927129582,28
289,Ransa,Logistics & Transport,Perú,Iquitos,Fleet Contract,3183065188,349
290,Mirtrans,Logistics & Transport,Uruguay,Salto,Fleet Contract,3909076970,9
291,CMPC,Industrial & Equipment,Chile,Valparaíso,RFP,3455950753,55
292,Servientrega,Logistics & Transport,Colombia,Bogotá,Spot Quote,4767870904,310
293,Transportes Furlong,Logistics & Transport,Argentina,Rosário,RFP,2080935464,37
294,Cervecería Quilmes,Food & Beverage,Argentina,Córdoba,Annual Framework,1452424421,33
295,Grupo Nutresa,Food & Beverage,Colombia,Cali,RFP,3860544388,42
296,Nuestra Señora de la Asunción,Logistics & Transport,Paraguai,Capiatá,RFP,4819087505,43
297,Pagnifique,Food & Beverage,Uruguay,Salto,RFP,363948160,16
298,Ferreyros,Industrial & Equipment,Perú,Lima,Public Tender,853886620,38
299,Turbus,B2B Services,Chile,Concepción,Standard Bid,314156811,24
300,Mirtrans,Logistics & Transport,Uruguay,Ciudad de la Costa,Fleet Contract,521118927,41
301,Falabella,E-commerce & Retail,Chile,Antofagasta,Spot Quote,2669637445,38
302,Transportes Cruz del Sur,Logistics & Transport,Perú,Lima,RFP,1291429914,25
303,Localiza,Car Rental,Brasil,Fortaleza,Quarterly Bid,1555607551,675
304,Ferreyros,Industrial & Equipment,Perú,Trujillo,Framework Agreement,1205376150,98
305,Localiza,Car Rental,Brasil,Rio de Janeiro,Direct Negotiation,762936116,1144
306,Bavaria,Food & Beverage,Colombia,Cali,RFP,3964678264,445
307,Cimportex,E-commerce & Retail,Paraguai,Assunção,Spot Quote,126640724,31
308,Mercado Libre,E-commerce & Retail,Argentina,Buenos Aires,Direct Negotiation,1926047582,365
309,Pagnifique,Food & Beverage,Uruguay,Las Piedras,Direct Negotiation,1043353745,39
310,Cimportex,E-commerce & Retail,Paraguai,Luque,Spot Quote,1236768457,49
311,YPF,Energy & Utilities,Argentina,Buenos Aires,RFP,3348843995,84
312,Alicorp,Food & Beverage,Perú,Trujillo,RFP,3149514826,35
313,Agrosuper,Food & Beverage,Chile,Santiago,Annual Framework,436042906,35
314,Andreani,Logistics & Transport,Argentina,Buenos Aires,Spot Quote,4155613170,166
315,Mercado Libre,E-commerce & Retail,Argentina,Rosário,Online Reverse Auction,4526395661,321
316,Ancap,Energy & Utilities,Uruguay,Ciudad de la Costa,Framework Agreement,1106618903,76
317,Alicorp,Food & Beverage,Perú,Trujillo,RFP,2625065365,42
318,JSL Logística,Logistics & Transport,Brasil,Brasília,RFP,1778978625,745
319,Transportes Furlong,Logistics & Transport,Argentina,Córdoba,Fleet Contract,4575581442,31
320,Ferreyros,Industrial & Equipment,Perú,Arequipa,RFP,3054401281,61
321,Enel Chile,Energy & Utilities,Chile,Concepción,Framework Agreement,2559840452,67
322,Mercado Libre,E-commerce & Retail,Argentina,La Plata,Online Reverse Auction,2869800777,181
323,Companhia de Locação das Américas,Car Rental,Brasil,Salvador,Direct Negotiation,1936173013,646
324,JSL Logística,Logistics & Transport,Brasil,Rio de Janeiro,Spot Quote,3983181936,1014
325,Turbus,B2B Services,Chile,La Serena,Standard Bid,1588897232,9
